Column name,Description,Column vocabterm,Column vocabterm ID,Unit,Unit vocabterm,To be published?,Notes
To be published,Is the row to be published?,comment,https://schema.org/Comment,NA,NA,0,
MaterialSampleID,"a sample ID, as originally provided by HCMR",SampleID,http://rs.tdwg.org/dwc/terms/materialSampleID,NA,NA,1,
EventID,event ID,eventID,http://rs.tdwg.org/dwc/terms/eventID,NA,NA,1,
CTD_Conductivity,Electrical conductivity of water (H2O),Electrical conductivity of the water column,http://vocab.nerc.ac.uk/collection/P02/current/CNDC/,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/UECA/,1,
Density,Not provided,Not Provided,Not Provided,Not Provided,Not Provided,0, measured independently by the sampling scientist (no fixed protocol or units)
CTD_Fluorescence,Raw (volts) OR converted (mg Chla/m^3) fluorescence of the water,Raw fluorometer output,http://vocab.nerc.ac.uk/collection/P02/current/FVLT/,volt,http://vocab.nerc.ac.uk/collection/P06/current/UVLT/,1,"Original said could have: volts or mg Chla/m˄3. The two possible values given are not equivalent to each other, hence unless a unit is specifically given, we cannot publish this value. According to Jonas: “I don't think so, usually sensors give an output in volts if that value still needs to be converted (via certain algorithm or certain piece of processing for example). Specifically, the VPR also measures everything in volts that is subsequently converted to chl, turbidity, etc. Will be the same here.
In other words: in this case it seems to me that part of the data has already been converted from volts to mg/L (via a piece of processing unknown to us). But not everything.”"
OBS,Not provided,Not Provided,Not provided,Not Provided,Not provided,0, measured independently by the sampling scientist (no fixed protocol or units)
Pressure,Not provided,Not Provided,Not provided,Not Provided,Not provided,0, measured independently by the sampling scientist (no fixed protocol or units)
Sound Velocity,Not provided,Not Provided,Not provided,Not Provided,Not provided,0, measured independently by the sampling scientist (no fixed protocol or units)
CTD_Depth,Vertical depth as measured by a CTD,Vertical spatial coordinates,http://vocab.nerc.ac.uk/collection/P02/current/AHGT/,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,1,
Seawater Nutrients Concentration_Nitrate_Nitrite,Not provided,Not Provided,Not provided,Not Provided,Not provided,0, measured independently by the sampling scientist (no fixed protocol or units)
Seawater Nutrients Concentration_Nitrate,Nitrate concentration parameters in the water column,Nitrate concentration parameters in the water column,http://vocab.nerc.ac.uk/collection/P02/current/NTRA/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,1,
Seawater Nutrients Concentration_Nitrite,Nitrite concentration parameters in the water column,Nitrite concentration parameters in the water column,http://vocab.nerc.ac.uk/collection/P02/current/NTRI/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,1,
Seawater Nutrients Concentration_Ammonium,Ammonium concentration parameters in the water column,Ammonium and ammonia concentration parameters in water bodies,http://vocab.nerc.ac.uk/collection/P02/current/AMON/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,1,
Seawater Nutrients Concentration_Phosphate,Phosphate concentration parameters in the water column,Phosphate concentration parameters in the water column,http://vocab.nerc.ac.uk/collection/P02/current/PHOS/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,1,
Seawater Nutrients Concentration_Silicate,Silicate concentration parameters in the water column,Silicate concentration parameters in the water column,http://vocab.nerc.ac.uk/collection/P02/current/SLCA/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,1,
Seawater Chemical Properties_pH,"Alkalinity, acidity and pH of the water column","Alkalinity, acidity and pH of the water column",http://vocab.nerc.ac.uk/collection/P02/current/ALKY/,NA,NA,1,
Seawater Chemical Properties_Dissolved Oxygen concentration,Dissolved oxygen concentration in the water column,Dissolved oxygen parameters in the water column,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,micromol/kg,http://vocab.nerc.ac.uk/collection/P06/current/KGUM/,1,
Seawater Optical Properties_Downward PAR,Visible waveband radiance and irradiance measurements in the water column,Visible waveband radiance and irradiance measurements in the water column,http://vocab.nerc.ac.uk/collection/P02/current/VSRW/,microE/m^2/s,http://vocab.nerc.ac.uk/collection/P06/current/UMES/,1,
Seawater Optical Properties_Turbidity,Transmittance and attenuance of the water column,Transmittance and attenuance of the water column,http://vocab.nerc.ac.uk/collection/P02/current/ATTN/,NTU,http://vocab.nerc.ac.uk/collection/P06/current/USTU/,1,"NTU or FTU were both allowed. While two units were allowed, and they measure in a different way, the units are equivlant. Not all stations give their units, so in our published data we will use NTU (which is slightly more popular in these data) but we will need to add a flag for those that are in FTU as this indicates a different measuring method. Note: the entires in FNU are valid units, and appear to be also equivalent to FTU and NTU"
Organic Matter Concentration (Amount or Mass)_POC,Particulate organic carbon concentration in the water column,Particulate total and organic carbon concentrations in the water column,http://vocab.nerc.ac.uk/collection/P02/current/CORG/,microg/l,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/,1,"both microg/l and micromol/l in data, can be converted https://ogsl.ca/wp-content/uploads/Unit_conversions_en_0.pdf "
